timestamp,speed_kmph,acceleration_mps2,gyroscope_pitch,gyroscope_roll,gyroscope_yaw
2024-11-16 22:30:57,60.0,1.28,1.85,1.43,14.74
2024-11-16 22:30:58,59.17,-0.83,-0.76,6.93,-8.7
2024-11-16 22:30:59,56.96,-2.21,-2.63,-9.7,0.63
2024-11-16 22:31:00,57.82,0.86,0.39,-1.25,7.36
2024-11-16 22:31:01,56.25,-1.57,-1.3,2.21,5.72
2024-11-16 22:31:02,55.81,-0.44,-0.81,-7.39,-8.22
2024-11-16 22:31:03,58.29,2.48,3.2,-5.36,12.22
2024-11-16 22:31:04,59.04,0.75,0.34,6.06,8.23
2024-11-16 22:31:05,57.7,-1.34,-1.05,3.37,-13.18
2024-11-16 22:31:06,58.99,1.29,0.36,-0.89,-4.79
2024-11-16 22:31:07,60.0,1.01,0.25,1.54,-11.85
2024-11-16 22:31:08,58.11,-1.89,-1.99,-5.01,-6.24
2024-11-16 22:31:09,57.16,-0.95,-0.4,2.85,-11.33
2024-11-16 22:31:10,58.2,1.04,1.94,-9.73,1.16
2024-11-16 22:31:11,57.63,-0.57,-0.34,-7.54,-14.96
2024-11-16 22:31:12,55.76,-1.87,-2.16,4.69,0.89
2024-11-16 22:31:13,55.01,-0.75,-0.26,7.49,3.54
2024-11-16 22:31:14,54.3,-0.71,-0.83,3.62,4.39
2024-11-16 22:31:15,53.6,-0.7,-0.44,8.37,-2.44
2024-11-16 22:31:16,52.7,-0.9,-0.88,9.76,-0.71
2024-11-16 22:31:17,51.07,-1.63,-1.12,2.26,1.35
2024-11-16 22:31:18,51.66,0.59,-0.09,6.04,8.84
2024-11-16 22:31:19,49.56,-2.1,-2.42,10.37,1.14
2024-11-16 22:31:20,48.18,-1.38,-2.29,-7.07,3.48
2024-11-16 22:31:21,50.43,2.25,2.34,-4.15,14.2
2024-11-16 22:31:22,51.43,1.0,1.12,7.51,-11.02
2024-11-16 22:31:23,48.81,-2.62,-2.04,-6.05,8.09
2024-11-16 22:31:24,50.12,1.31,1.74,-6.06,1.32
2024-11-16 22:31:25,49.73,-0.39,-0.6,-2.77,10.51
2024-11-16 22:31:26,49.39,-0.34,-1.19,-4.25,13.66
2024-11-16 22:31:27,50.84,1.45,1.88,8.49,-4.03
2024-11-16 22:31:28,53.7,2.86,2.23,-8.4,-4.05
2024-11-16 22:31:29,51.54,-2.16,-1.29,5.99,-12.46
2024-11-16 22:31:30,51.3,-0.24,0.62,-0.25,8.05
2024-11-16 22:31:31,49.98,-1.32,-1.52,9.41,10.52
2024-11-16 22:31:32,50.04,0.06,0.93,-1.67,-12.52
2024-11-16 22:31:33,51.1,1.06,1.93,-6.09,4.91
2024-11-16 22:31:34,50.1,-1.0,-0.62,7.05,-14.92
2024-11-16 22:31:35,47.71,-2.39,-2.66,-2.84,-11.52
2024-11-16 22:31:36,45.53,-2.18,-2.66,-5.57,-14.36
2024-11-16 22:31:37,47.81,2.28,1.53,4.66,14.26
2024-11-16 22:31:38,46.06,-1.75,-1.48,-4.95,-13.57
2024-11-16 22:31:39,47.95,1.89,2.59,4.78,-8.3
2024-11-16 22:31:40,48.38,0.43,-0.19,3.69,-1.06
2024-11-16 22:31:41,48.91,0.53,0.48,-9.35,0.35
2024-11-16 22:31:42,49.18,0.27,-0.48,-2.24,-5.06
2024-11-16 22:31:43,49.99,0.81,-0.13,1.36,-13.5
2024-11-16 22:31:44,48.52,-1.47,-0.98,1.72,-12.58
2024-11-16 22:31:45,51.11,2.59,3.12,0.49,4.54
2024-11-16 22:31:46,53.38,2.27,2.92,1.89,-6.04
2024-11-16 22:31:47,54.03,0.65,0.25,-0.27,-13.17
2024-11-16 22:31:48,54.96,0.93,1.59,-8.44,0.4
2024-11-16 22:31:49,54.48,-0.48,-0.73,4.3,-0.73
2024-11-16 22:31:50,53.09,-1.39,-1.48,0.95,-8.53
2024-11-16 22:31:51,51.06,-2.03,-1.17,-6.21,-15.31
2024-11-16 22:31:52,52.57,1.51,1.91,3.94,3.31
2024-11-16 22:31:53,52.35,-0.22,0.47,1.07,7.58
2024-11-16 22:31:54,54.71,2.36,2.04,-0.31,-11.38
2024-11-16 22:31:55,53.69,-1.02,-1.56,-6.87,6.27
2024-11-16 22:31:56,55.94,2.25,1.7,6.6,0.93
2024-11-16 22:31:57,55.57,-0.37,0.33,7.45,4.54
2024-11-16 22:31:58,54.81,-0.76,-0.55,7.51,6.36
2024-11-16 22:31:59,54.15,-0.66,0.27,-0.3,8.21
2024-11-16 22:32:00,55.43,1.28,1.72,-6.41,-1.38
2024-11-16 22:32:01,54.14,-1.29,-0.7,0.8,-13.69
2024-11-16 22:32:02,51.63,-2.51,-2.89,8.73,-4.44
2024-11-16 22:32:03,54.4,2.77,3.33,-1.1,-8.66
2024-11-16 22:32:04,53.27,-1.13,-1.52,5.55,-9.19
2024-11-16 22:32:05,51.75,-1.52,-0.52,3.91,6.9
2024-11-16 22:32:06,51.81,0.06,0.6,-8.99,2.98
2024-11-16 22:32:07,53.4,1.59,2.59,-8.69,-2.79
2024-11-16 22:32:08,52.81,-0.59,-0.72,9.14,-10.34
2024-11-16 22:32:09,53.21,0.4,-0.05,-4.46,8.53
2024-11-16 22:32:10,52.58,-0.63,0.2,-4.12,-1.84
2024-11-16 22:32:11,49.72,-2.86,-2.13,1.59,-12.0
2024-11-16 22:32:12,52.26,2.54,1.77,-6.43,-10.25
2024-11-16 22:32:13,54.42,2.16,2.19,1.45,-9.82
2024-11-16 22:32:14,56.7,2.28,3.42,-0.22,-15.12
2024-11-16 22:32:15,56.95,0.25,0.6,-3.33,5.82
2024-11-16 22:32:16,59.8,2.85,3.04,-3.62,3.14
2024-11-16 22:32:17,58.35,-1.45,-2.14,2.83,-9.64
2024-11-16 22:32:18,60.0,1.65,1.19,-3.0,5.19
2024-11-16 22:32:19,57.93,-2.07,-2.38,4.09,-6.79
2024-11-16 22:32:20,59.47,1.54,1.19,-4.19,-5.76
2024-11-16 22:32:21,59.63,0.16,0.78,6.62,6.38
2024-11-16 22:32:22,60.0,0.37,0.66,-8.0,-1.5
2024-11-16 22:32:23,59.68,-0.32,-0.71,1.69,4.95
2024-11-16 22:32:24,60.0,0.32,0.7,0.64,10.32
2024-11-16 22:32:25,60.0,0.0,-0.39,6.48,-3.9
2024-11-16 22:32:26,60.0,0.0,0.05,-2.86,7.36
2024-11-16 22:32:27,60.0,0.0,0.65,-8.38,7.45
2024-11-16 22:32:28,60.0,0.0,0.21,-8.96,10.04
2024-11-16 22:32:29,60.0,0.0,-0.19,-3.67,6.21
2024-11-16 22:32:30,59.1,-0.9,-1.12,2.14,-7.33
2024-11-16 22:32:31,58.28,-0.82,-1.82,4.69,-4.73
2024-11-16 22:32:32,55.6,-2.68,-2.34,6.68,-5.42
2024-11-16 22:32:33,55.72,0.12,0.44,4.99,12.14
2024-11-16 22:32:34,53.91,-1.81,-0.81,-2.87,5.5
2024-11-16 22:32:35,53.17,-0.74,-0.07,-4.14,14.16
2024-11-16 22:32:36,53.17,0.0,0.24,10.08,-7.67
2024-11-16 22:32:37,53.33,0.16,0.34,5.63,-13.32
2024-11-16 22:32:38,51.33,-2.0,-2.01,5.22,10.84
2024-11-16 22:32:39,50.9,-0.43,0.01,-8.48,-3.39
2024-11-16 22:32:40,52.28,1.38,1.34,-1.0,-3.56
2024-11-16 22:32:41,51.63,-0.65,0.08,7.41,-10.46
2024-11-16 22:32:42,50.44,-1.19,-1.12,1.41,-7.4
2024-11-16 22:32:43,52.87,2.43,2.85,6.92,-14.51
2024-11-16 22:32:44,52.92,0.05,-0.44,1.5,-14.21
2024-11-16 22:32:45,50.38,-2.54,-1.89,-3.0,12.7
2024-11-16 22:32:46,51.48,1.1,1.12,0.19,11.42
2024-11-16 22:32:47,51.75,0.27,0.9,0.56,-10.65
2024-11-16 22:32:48,52.08,0.33,0.22,-5.3,-7.72
2024-11-16 22:32:49,54.25,2.17,2.3,8.31,-1.29
2024-11-16 22:32:50,51.45,-2.8,-3.38,10.59,6.08
2024-11-16 22:32:51,49.76,-1.69,-1.14,-2.47,-6.33
2024-11-16 22:32:52,49.72,-0.04,-0.64,-4.18,-14.39
2024-11-16 22:32:53,52.59,2.87,3.6,-3.66,2.19
2024-11-16 22:32:54,52.39,-0.2,-0.3,7.55,-3.72
2024-11-16 22:32:55,53.56,1.17,2.05,-1.32,-1.08
2024-11-16 22:32:56,50.96,-2.6,-3.03,-6.08,-11.21
2024-11-16 22:32:57,50.23,-0.73,-0.49,-5.3,13.83
2024-11-16 22:32:58,51.7,1.47,1.38,1.95,-8.26
2024-11-16 22:32:59,52.36,0.66,0.78,-2.58,-13.8
2024-11-16 22:33:00,52.75,0.39,-0.49,-6.94,14.83
2024-11-16 22:33:01,53.35,0.6,0.76,5.28,0.27
2024-11-16 22:33:02,52.56,-0.79,-1.79,5.07,7.23
2024-11-16 22:33:03,49.64,-2.92,-2.67,-9.58,-8.0
2024-11-16 22:33:04,52.05,2.41,2.19,-1.0,-5.0
2024-11-16 22:33:05,54.01,1.96,2.25,7.36,0.98
2024-11-16 22:33:06,55.66,1.65,0.88,0.18,13.73
2024-11-16 22:33:07,57.76,2.1,2.78,-8.61,-1.35
2024-11-16 22:33:08,60.0,2.24,2.27,-6.35,5.86
2024-11-16 22:33:09,59.12,-0.88,-1.36,-3.52,4.09
2024-11-16 22:33:10,60.0,0.88,0.19,0.39,7.4
2024-11-16 22:33:11,60.0,0.0,-0.55,-8.75,5.41
2024-11-16 22:33:12,60.0,0.0,-0.39,-5.87,-14.01
2024-11-16 22:33:13,60.0,0.0,-0.92,-5.13,-10.73
2024-11-16 22:33:14,60.0,0.0,0.33,-5.0,-13.57
2024-11-16 22:33:15,59.08,-0.92,-0.75,-1.83,8.91
2024-11-16 22:33:16,56.83,-2.25,-2.47,-1.79,5.9
2024-11-16 22:33:17,59.26,2.43,2.95,6.19,4.51
2024-11-16 22:33:18,56.27,-2.99,-2.23,7.05,-14.04
2024-11-16 22:33:19,53.91,-2.36,-3.17,-3.57,-10.43
2024-11-16 22:33:20,51.15,-2.76,-1.79,5.66,-2.57
2024-11-16 22:33:21,53.98,2.83,3.41,7.94,5.38
2024-11-16 22:33:22,53.87,-0.11,0.46,-1.07,-9.14
2024-11-16 22:33:23,52.62,-1.25,-0.64,-1.61,11.1
2024-11-16 22:33:24,55.37,2.75,3.24,-7.39,-8.78
2024-11-16 22:33:25,52.84,-2.53,-2.12,-9.95,13.33
2024-11-16 22:33:26,51.39,-1.45,-1.78,-3.56,-4.69
2024-11-16 22:33:27,48.56,-2.83,-3.52,-8.42,-1.11
2024-11-16 22:33:28,48.65,0.09,-0.07,-7.42,-10.58
2024-11-16 22:33:29,47.2,-1.45,-1.86,-5.63,4.26
2024-11-16 22:33:30,44.81,-2.39,-2.28,-2.48,-9.87
2024-11-16 22:33:31,46.9,2.09,2.15,-9.13,8.43
2024-11-16 22:33:32,48.19,1.29,0.21,-6.82,2.75
2024-11-16 22:33:33,46.13,-2.06,-1.33,-5.09,4.0
2024-11-16 22:33:34,46.68,0.55,1.16,6.56,-10.07
2024-11-16 22:33:35,49.3,2.62,3.17,-0.17,-10.13
2024-11-16 22:33:36,50.05,0.75,1.11,-8.7,2.38
2024-11-16 22:33:37,52.54,2.49,2.52,-2.23,-14.97
2024-11-16 22:33:38,54.16,1.62,2.34,9.23,-1.05
2024-11-16 22:33:39,56.05,1.89,1.1,6.89,-6.94
2024-11-16 22:33:40,59.01,2.96,3.2,-1.04,6.51
2024-11-16 22:33:41,60.0,0.99,1.55,1.67,-5.95
2024-11-16 22:33:42,60.0,0.0,-0.18,-8.71,-1.4
2024-11-16 22:33:43,60.0,0.0,-0.48,-8.13,13.04
2024-11-16 22:33:44,60.0,0.0,0.97,-8.37,-9.38
2024-11-16 22:33:45,60.0,0.0,0.76,1.91,-9.9
2024-11-16 22:33:46,60.0,0.0,0.69,0.83,1.81
2024-11-16 22:33:47,60.0,0.0,-0.71,-0.97,-7.32
2024-11-16 22:33:48,60.0,0.0,0.02,2.65,4.29
2024-11-16 22:33:49,60.0,0.0,0.4,-1.44,2.5
2024-11-16 22:33:50,57.16,-2.84,-3.6,4.4,-15.46
2024-11-16 22:33:51,55.15,-2.01,-2.64,-3.69,6.53
2024-11-16 22:33:52,52.39,-2.76,-3.42,2.74,-8.76
2024-11-16 22:33:53,51.35,-1.04,-1.07,9.05,7.02
2024-11-16 22:33:54,52.99,1.64,1.75,-2.85,-11.49
2024-11-16 22:33:55,50.4,-2.59,-2.0,-8.67,-6.98
2024-11-16 22:33:56,49.73,-0.67,-1.04,9.09,9.47
2024-11-16 22:33:57,52.56,2.83,2.51,-7.42,1.06
2024-11-16 22:33:58,51.64,-0.92,-0.16,6.95,0.54
2024-11-16 22:33:59,53.94,2.3,3.13,7.99,-3.79
2024-11-16 22:34:00,52.12,-1.82,-0.96,-8.16,-9.98
2024-11-16 22:34:01,51.39,-0.73,-1.42,-6.53,13.43
2024-11-16 22:34:02,50.31,-1.08,-1.52,6.01,7.54
2024-11-16 22:34:03,52.06,1.75,2.5,-6.4,9.03
2024-11-16 22:34:04,51.7,-0.36,0.65,9.03,2.4
2024-11-16 22:34:05,50.66,-1.04,-0.54,-4.5,-3.02
2024-11-16 22:34:06,51.49,0.83,0.07,-0.94,1.33
2024-11-16 22:34:07,54.02,2.53,1.86,7.27,8.72
2024-11-16 22:34:08,56.03,2.01,2.42,2.81,-12.35
2024-11-16 22:34:09,57.19,1.16,0.33,7.19,-4.76
2024-11-16 22:34:10,58.51,1.32,1.7,1.33,7.81
2024-11-16 22:34:11,58.79,0.28,1.21,7.18,-5.8
2024-11-16 22:34:12,59.1,0.31,-0.13,7.72,13.73
2024-11-16 22:34:13,57.82,-1.28,-0.83,-1.58,4.02
2024-11-16 22:34:14,55.67,-2.15,-1.77,2.99,8.95
2024-11-16 22:34:15,57.08,1.41,1.26,0.63,7.43
2024-11-16 22:34:16,55.84,-1.24,-1.76,-8.54,-5.95
2024-11-16 22:34:17,58.25,2.41,2.82,-2.09,10.12
2024-11-16 22:34:18,58.25,0.0,0.66,2.56,-7.94
2024-11-16 22:34:19,57.99,-0.26,0.13,5.11,-4.08
2024-11-16 22:34:20,55.62,-2.37,-2.58,-8.69,2.11
2024-11-16 22:34:21,58.47,2.85,3.22,-1.61,6.16
2024-11-16 22:34:22,60.0,1.53,1.09,3.24,-12.53
2024-11-16 22:34:23,59.39,-0.61,-0.66,-5.52,-8.86
2024-11-16 22:34:24,58.85,-0.54,0.09,-4.4,-6.4
2024-11-16 22:34:25,58.14,-0.71,-1.56,-7.08,-0.55
2024-11-16 22:34:26,58.41,0.27,1.18,6.27,-3.1
2024-11-16 22:34:27,57.6,-0.81,-1.58,-6.62,-10.7
2024-11-16 22:34:28,57.82,0.22,0.56,-0.25,-1.89
2024-11-16 22:34:29,55.65,-2.17,-1.19,8.8,9.41
2024-11-16 22:34:30,58.04,2.39,3.1,-4.23,12.6
2024-11-16 22:34:31,56.1,-1.94,-1.84,2.84,2.88
2024-11-16 22:34:32,53.11,-2.99,-3.06,9.61,-3.61
2024-11-16 22:34:33,56.08,2.97,3.76,-8.25,1.73
2024-11-16 22:34:34,54.47,-1.61,-1.59,-2.13,10.97
2024-11-16 22:34:35,56.12,1.65,1.99,7.89,5.63
2024-11-16 22:34:36,54.95,-1.17,-1.97,-8.5,10.38
2024-11-16 22:34:37,54.27,-0.68,-0.01,-10.19,-13.49
2024-11-16 22:34:38,54.73,0.46,0.48,-4.46,13.0
2024-11-16 22:34:39,54.99,0.26,1.03,-6.07,-6.3
2024-11-16 22:34:40,56.3,1.31,0.92,-0.95,-13.75
2024-11-16 22:34:41,56.07,-0.23,-0.96,-3.47,14.64
2024-11-16 22:34:42,56.79,0.72,0.63,1.03,10.93
2024-11-16 22:34:43,58.69,1.9,2.38,-8.55,-4.3
2024-11-16 22:34:44,59.28,0.59,-0.4,-1.8,8.05
2024-11-16 22:34:45,60.0,0.72,0.84,8.92,7.74
2024-11-16 22:34:46,58.43,-1.57,-2.35,5.64,-1.67
2024-11-16 22:34:47,60.0,1.57,2.14,2.88,11.06
2024-11-16 22:34:48,60.0,0.0,-0.57,1.9,4.87
2024-11-16 22:34:49,60.0,0.0,0.79,2.3,-13.98
2024-11-16 22:34:50,59.68,-0.32,-0.24,-8.08,8.17
2024-11-16 22:34:51,60.0,0.32,1.33,8.69,14.08
2024-11-16 22:34:52,57.58,-2.42,-2.61,-3.63,2.23
2024-11-16 22:34:53,56.11,-1.47,-1.46,-1.85,-0.71
2024-11-16 22:34:54,56.83,0.72,0.43,1.1,-10.55
2024-11-16 22:34:55,57.46,0.63,-0.07,8.91,-10.94
2024-11-16 22:34:56,58.96,1.5,1.51,1.6,-6.77
2024-11-16 22:34:57,59.85,0.89,0.37,-5.07,14.64
2024-11-16 22:34:58,58.02,-1.83,-1.21,7.64,12.68
2024-11-16 22:34:59,56.21,-1.81,-1.21,-5.85,-3.58
2024-11-16 22:35:00,59.03,2.82,2.95,9.57,-9.32
2024-11-16 22:35:01,59.73,0.7,1.61,0.36,2.17
2024-11-16 22:35:02,56.76,-2.97,-2.41,-3.25,9.46
2024-11-16 22:35:03,56.63,-0.13,0.33,-2.76,13.91
2024-11-16 22:35:04,56.27,-0.36,-0.84,-1.49,-4.93
2024-11-16 22:35:05,58.5,2.23,2.9,6.29,4.98
2024-11-16 22:35:06,60.0,1.5,0.44,1.77,-15.28
2024-11-16 22:35:07,59.96,-0.04,0.69,7.11,6.0
2024-11-16 22:35:08,60.0,0.04,-0.2,-7.02,-14.03
2024-11-16 22:35:09,60.0,0.0,0.44,-3.45,13.33
2024-11-16 22:35:10,60.0,0.0,-0.9,3.06,-7.14
2024-11-16 22:35:11,59.43,-0.57,-0.54,-2.56,6.4
2024-11-16 22:35:12,57.79,-1.64,-2.25,9.28,-14.32
2024-11-16 22:35:13,60.0,2.21,2.85,-2.71,-13.16
2024-11-16 22:35:14,60.0,0.0,-0.63,5.91,-10.04
2024-11-16 22:35:15,59.05,-0.95,-0.02,-2.96,1.17
2024-11-16 22:35:16,60.0,0.95,0.16,-1.31,-7.27
2024-11-16 22:35:17,60.0,0.0,0.86,7.64,3.32
2024-11-16 22:35:18,58.1,-1.9,-1.46,-2.8,-0.92
2024-11-16 22:35:19,60.0,1.9,2.02,10.31,0.67
2024-11-16 22:35:20,60.0,0.0,0.92,-4.32,12.41
2024-11-16 22:35:21,60.0,0.0,-0.07,-6.11,6.02
2024-11-16 22:35:22,58.5,-1.5,-2.43,-9.34,-4.99
2024-11-16 22:35:23,57.17,-1.33,-0.82,1.48,14.22
2024-11-16 22:35:24,56.57,-0.6,0.1,9.94,-14.42
2024-11-16 22:35:25,54.34,-2.23,-1.94,-4.22,-5.94
2024-11-16 22:35:26,53.55,-0.79,0.06,-8.17,-1.25
2024-11-16 22:35:27,53.02,-0.53,0.13,3.69,-6.56
2024-11-16 22:35:28,55.73,2.71,1.94,-7.52,-11.06
2024-11-16 22:35:29,53.19,-2.54,-3.17,-1.22,10.13
2024-11-16 22:35:30,55.09,1.9,2.27,-0.3,-2.21
2024-11-16 22:35:31,52.69,-2.4,-2.16,2.12,-12.32
2024-11-16 22:35:32,53.97,1.28,0.69,0.25,10.24
2024-11-16 22:35:33,54.23,0.26,0.46,1.47,11.06
2024-11-16 22:35:34,51.76,-2.47,-3.06,0.25,-7.72
2024-11-16 22:35:35,53.94,2.18,2.74,-8.37,11.44
2024-11-16 22:35:36,51.69,-2.25,-2.87,-5.88,-0.23
2024-11-16 22:35:37,54.32,2.63,2.21,4.92,8.1
2024-11-16 22:35:38,54.97,0.65,0.58,9.52,9.64
2024-11-16 22:35:39,53.13,-1.84,-1.34,-4.47,-7.2
2024-11-16 22:35:40,55.41,2.28,1.59,5.85,13.58
2024-11-16 22:35:41,54.18,-1.23,-1.01,0.86,8.84
2024-11-16 22:35:42,54.53,0.35,-0.28,8.46,3.3
2024-11-16 22:35:43,56.12,1.59,2.36,4.9,13.72
2024-11-16 22:35:44,56.3,0.18,0.98,8.15,-9.15
2024-11-16 22:35:45,58.73,2.43,2.08,-4.68,-2.05
2024-11-16 22:35:46,59.67,0.94,0.4,7.56,-2.65
2024-11-16 22:35:47,60.0,0.33,0.6,0.55,-9.48
2024-11-16 22:35:48,58.31,-1.69,-1.15,8.45,-6.45
2024-11-16 22:35:49,60.0,1.69,2.03,-7.17,7.79
2024-11-16 22:35:50,60.0,0.0,-0.45,-0.59,-12.9
2024-11-16 22:35:51,60.0,0.0,-0.21,-3.58,2.94
2024-11-16 22:35:52,60.0,0.0,-0.22,-6.32,3.19
2024-11-16 22:35:53,60.0,0.0,0.73,0.93,-5.84
2024-11-16 22:35:54,59.23,-0.77,-0.98,-5.22,-5.12
2024-11-16 22:35:55,60.0,0.77,1.7,3.09,10.7
2024-11-16 22:35:56,60.0,0.0,0.41,7.14,-1.42
2024-11-16 22:35:57,60.0,0.0,0.85,6.35,9.57
2024-11-16 22:35:58,57.7,-2.3,-2.47,-9.12,6.8
2024-11-16 22:35:59,56.07,-1.63,-2.19,-8.48,8.41
2024-11-16 22:36:00,56.04,-0.03,-0.87,7.58,9.4
2024-11-16 22:36:01,54.76,-1.28,-1.83,-0.62,-14.03
2024-11-16 22:36:02,52.51,-2.25,-2.36,-9.02,13.2
2024-11-16 22:36:03,50.73,-1.78,-1.6,0.89,9.03
2024-11-16 22:36:04,53.45,2.72,2.62,-4.6,11.03
2024-11-16 22:36:05,54.43,0.98,1.25,9.81,3.4
2024-11-16 22:36:06,52.37,-2.06,-2.97,3.35,2.24
2024-11-16 22:36:07,50.41,-1.96,-1.76,-9.13,3.59
2024-11-16 22:36:08,52.99,2.58,3.16,-3.59,7.25
2024-11-16 22:36:09,55.06,2.07,2.88,3.41,3.1
2024-11-16 22:36:10,54.54,-0.52,-1.16,-8.5,-4.22
2024-11-16 22:36:11,56.14,1.6,1.73,3.57,8.59
2024-11-16 22:36:12,55.75,-0.39,-0.57,5.44,-6.63
2024-11-16 22:36:13,55.51,-0.24,-1.17,4.28,-7.02
2024-11-16 22:36:14,57.54,2.03,2.72,7.89,-5.49
2024-11-16 22:36:15,60.0,2.46,2.79,-0.11,8.94
2024-11-16 22:36:16,57.57,-2.43,-2.49,8.06,14.17
2024-11-16 22:36:17,60.0,2.43,2.84,-2.65,-12.5
2024-11-16 22:36:18,57.39,-2.61,-2.35,-0.21,2.74
2024-11-16 22:36:19,56.27,-1.12,-0.2,-1.22,14.36
2024-11-16 22:36:20,58.18,1.91,2.18,-6.82,1.92
2024-11-16 22:36:21,58.61,0.43,0.66,-9.18,9.5
2024-11-16 22:36:22,56.48,-2.13,-2.62,-0.13,-5.42
2024-11-16 22:36:23,56.98,0.5,-0.11,3.22,-10.91
2024-11-16 22:36:24,55.82,-1.16,-1.67,7.59,-6.11
2024-11-16 22:36:25,54.68,-1.14,-1.99,-5.56,14.68
2024-11-16 22:36:26,55.98,1.3,2.1,0.87,3.61
2024-11-16 22:36:27,58.01,2.03,3.05,0.02,-4.14
